id,citation,url,watershed_name,figure_num,figure_caption,figure_url,attribution,attribution_url,spatial_property,spatial_property_original,num_spatial_zones,temporal_property,temporal_property_original,num_temporal_zones,vegetation_info,vegetation_info_original,soil_info,soil_info_original,geol_info,geol_info_original,topo_info,topo_info_original,three_d_info,three_d_info_original,uncertainty_info,uncertainty_info_original,other_info,num_flux_from_sql,flux_list_from_sql,num_flux_hilary,flux1,flux1_taxonomy,flux2,flux2_taxonomy,flux3,flux3_taxonomy,flux4,flux4_taxonomy,flux5,flux5_taxonomy,flux6,flux6_taxonomy,flux7,flux7_taxonomy,flux8,flux8_taxonomy,flux9,flux9_taxonomy,flux10,flux10_taxonomy,flux11,flux11_taxonomy,flux12,flux12_taxonomy,flux13,flux13_taxonomy,flux14,flux14_taxonomy,num_store,store_list,num_stores,store1,store1_taxonomy,store2,store2_taxonomy,store3,store3_taxonomy,store4,store4_taxonomy,store5,store5_taxonomy,store6,store6_taxonomy,store7,store7_taxonomy,store8,store8_taxonomy,store9,store9_taxonomy,store10,store10_taxonomy
11,"Exner-Kittridge M, Strauss P, Blöschl G, Eder A, Saracevic E, Zessner M. 2016. The seasonal dynamics of the stream sources and input flow paths of water and nitrogen of an Austrian headwater agricultural catchment. The Science of the total environment 542 (Pt A): 935–945 DOI: 10.1016/j.scitotenv.2015.10.151",https://doi.org/10.1016/j.scitotenv.2015.10.151,"HOAL Petzenkirchen, Vienna",3,"A schematic diagram of the sources and pathways of water and nitrogen during baseflow and rainfall conditions in the HOAL catchment. Diagrams (a) and (b) illustrate the source reservoirs during baseflow and rainfall event conditions, and diagrams (c) and (d) illustrate the flowpaths of the water and nitrogen from the reservoirs to the stream during baseflow and rainfall event conditions. The main reservoirs for stream baseflow are the shallow aquifer and the deep aquifer, and in addition to the previously mentioned aquifers the unsaturated soil and the rainfall are the source reservoirs during rainfall events. Diagram (c) illustrates a slightly different cross-section where the deep aquifer outcrops into the riparian zone and manifests as a spring. This cross-section is representative of the location of the Q1 spring found in Fig. 2. In both (c) and (d), diffuse groundwater (GW) flows through the soil matrix and macropores are important flowpaths in addition to tile drainage discharge",https://ars.els-cdn.com/content/image/1-s2.0-S0048969715309670-gr3.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,N,N,1,Event,Baseflow/Rainfall events,2,N,N,N,N,N,N,N,N,N,N,N,N,"The sources (=stores) and flow paths are shown as separate pictures. The diffuse groundwater flows are shown as being from shallow and deep aquifers, but are described as being ""flows through the soil matrix and macropores""",6.0,"Overland Flow, Groundwater flow, Vertical drainage to groundwater, Tile drain flow, Groundwater flow, Springflow",6.0,Tile drainages,Tile drain flow, diffuse GW flow (from shallow aquifer),Groundwater flow, diffuse GW flow (from deep aquifer),Groundwater flow , springs,Springflow, soil drainage (vertical),Vertical drainage to groundwater, overland flow,Overland flow,,,,,,,,,,,,,,,,,4.0,"Channel storage, Soil water storage, Groundwater storage, Groundwater storage",4.0,Stream,Channel storage, unsaturated soil,Soil water storage, shallow aquifer,Groundwater Storage , deep aquifer,Groundwater Storage ,,,,,,,,,,,,
12,"Flint AL, Flint LE, Bodvarsson GS, Kwicklis EM, Fabryka-Martin J. 2001. Evolution of the conceptual model of unsaturated zone hydrology at Yucca Mountain, Nevada. Journal of Hydrology 247 (1)",https://doi.org/10.1016/S0022-1694(01)00358-4,"Yucca Mountain, Nevada",3,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,Geological types described,Y,N,N,N,N,Uncertainty described,N - apart from infiltration marked as spatially variable,"Inconsistencies betweeen picture and legend, wiggly arrows meaning unknown, many unlabelled arrows",7.0,"Lateral unsaturated bedrock flow, Infiltration, Pistonflow, Pistonflow, Infiltration into bedrock via preferential flow paths, Lateral unsaturated bedrock flow, Lateral unsaturated bedrock flow",7.0,Infiltration,Infiltration, lateral matrix flow in TCw,Lateral unsaturated bedrock flow, lateral matrix flow in PTn,Lateral unsaturated bedrock flow , lateral matrix flow at deeper geological interface,Lateral unsaturated bedrock flow , flow in fault conduit,Pistonflow, fast fracture flow,Pistonflow , unsaturated flux from fractures to matrix,Infiltration into bedrock via preferential flow paths,,,,,,,,,,,,,,,7.0,"Unsaturated bedrock storage, Perched water tables, Water Table, Unsaturated bedrock storage, Unsaturated bedrock storage, Unsaturated bedrock storage, Unsaturated bedrock storage",7.0,TCw,Unsaturated bedrock storage, PTn,Unsaturated bedrock storage , TSw,Unsaturated bedrock storage , CHv,Unsaturated bedrock storage , CHz (all lithostratigraphy units),Unsaturated bedrock storage , water table,Water table, perched water tables at 3 boundaries,Perched water tables,,,,,,
13,"Fovet O, Ruiz L, Hrachowitz M, Faucheux M, Gascuel-Odoux C. 2015. Hydrological hysteresis and its value for assessing process consistency in catchment conceptual models. Hydrology and Earth System Sciences 19 (1): 105–123",https://doi.org/10.5194/hess-19-105-2015,"Kerrien catchment, Brittany",7,Conceptual scheme of successive mechanisms explaining the annual hysteresis between storages and stream ﬂows. HUS: hillslope unsaturated storage; HSS: hillslope saturated storage; RUS: riparian unsaturated storage; RSS: riparian saturated storage; Q: stream ﬂow. Bold characters indicate compartments with varying storage; grey arrows indicate whether the compartment is ﬁlling or emptying; black arrows indicate the water ﬂow paths,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/1b22eacf13e446e1aa3ab59d39fbee9b/data,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,N,N,1,Wetness,"Dry, wetting, wet and drying periods",4,N,N,N,N,N,N,Slopes described,"Shows slope of hillside, riparian zone, water table",N,N,N,N,Arrows show water table rise/fall; indicates which storages have variable storage,5.0,"Groundwater flow, Channel flow, Lateral macropore flow, Regional groundwater flow, Gaining stream",5.0,Deep groundwater flow,Regional groundwater flow, riparian groundwater flow to channel,Gaining stream," preferential flow (shown lateral,  close to/intersecting ground surface)",Lateral macropore flow, hillslope groundwater flow (shown lateral),Groundwater flow,streamflow,Channel flow,,,,,,,,,,,,,,,,,,,4.0,"Riparian aquifer storage, Riparian unsaturated storage, Soil water storage, Groundwater storage",4.0,hillslope unsaturated storage,Soil water storage, hillslope saturated storage,Groundwater Storage,riparian unsaturated storage,Riparian unsaturated storage,riparian saturated storage,Riparian aquifer storage,,,,,,,,,,,,
14,"Gabrielli CP, McDonnell JJ, Jarvis WT. 2012. The role of bedrock groundwater in rainfall–runoff response at hillslope and catchment scales. Journal of Hydrology 450-451: 117–133 DOI: 10.1016/j.jhydrol.2012.05.023",https://doi.org/10.1016/j.jhydrol.2012.05.023,Maimai M8 experimental catchment,7a,Not open-access,,Not open-access,,N,N,1,N,N,1,Forest described,Pine tree icons,N,N,N,N,N,N,N,N,N,N,,3.0,"Subsurface stormflow, Infiltration into bedrock, Groundwater flow",3.0,Bedrock infiltration,Infiltration into bedrock, subsurface stormflow,Subsurface stormflow, bedrock groundwater flow,Groundwater flow,,,,,,,,,,,,,,,,,,,,,,,4.0,"Groundwater storage, Unsaturated bedrock storage, Soil water storage, Channel storage",4.0,Soil,Soil water storage, bedrock,Unsaturated bedrock storage, saturated bedrock,Groundwater Storage, stream,Channel storage,,,,,,,,,,,,
15,"Gabrielli CP, McDonnell JJ, Jarvis WT. 2012. The role of bedrock groundwater in rainfall–runoff response at hillslope and catchment scales. Journal of Hydrology 450-451: 117–133 DOI: 10.1016/j.jhydrol.2012.05.024",https://doi.org/10.1016/j.jhydrol.2012.05.023,"WS10, H.J. Andrews, Oregon",7b,Not open-access,,Not open-access,,N,N,1,N,N,1,Forest described,Pine tree icons,N,N,N,N,N,N,N,N,N,N,,4.0,"Gaining stream, Infiltration into bedrock, Pistonflow, Groundwater flow",4.0,Shallow fracture flow (=lateral subsurface stormflow),Pistonflow, long term water flux (=bedrock groundwater),Groundwater flow, deep seepage,Infiltration into bedrock,baseflow ,Gaining stream,,,,,,,,,,,,,,,,,,,,,4.0,"Channel storage, Soil water storage, Groundwater storage, Soil water storage",4.0,Soil,Soil water storage, saprolite,Soil water storage , bedrock,Groundwater Storage, stream,Channel storage,,,,,,,,,,,,
16,"Gibson JJ, Yi Y, Birks SJ. 2016. Isotope-based partitioning of streamflow in the oil sands region, northern Alberta: Towards a monitoring strategy for assessing flow sources and water quality controls. Journal of Hydrology: Regional Studies 5: 131–148 DOI: 10.1016/j.ejrh.2015.12.062",https://doi.org/10.1016/j.ejrh.2015.12.062,"Athabasca Oil Sands region, Alberta",12,"Conceptual model of runoff generation in wetland-dominated tributaries in the oil sands region. Important flow mechanisms are identified. Note that on-channel precipitation and near-channel overland flow produce event-dominated runoff, shallow runoff components (2–5) typically produce mixtures of surface water and groundwater whereas deep runoff components (6–8) are exclusively groundwater-fed",https://ars.els-cdn.com/content/image/1-s2.0-S2214581815002141-gr12.jpg,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,N,N,1,N,N,1,N,N,N,N,Glacier described,Y (only drift/bedrock),N,N,N,N,N,N,"Describes water sources as event water, shallow gw, deep gw",9.0,"Regional groundwater flow, SE flow from riparian zone, Groundwater flow, Lateral macropore flow, Return Flow, Groundwater flow, Channel interception, Groundwater flooding, Subsurface stormflow",9.0,On-channel precipitation,Channel interception, near-channel overland flow,SE flow from riparian zone, fill and spill,Groundwater flooding, macropore flow,Lateral macropore flow, interflow,Subsurface stormflow, return flow,Return flow, flow from drift aquifers,Groundwater flow , flow from bedrock aquifers,Groundwater flow , regional groundwater flow,Regional groundwater flow,,,,,,,,,,,4.0,"Groundwater storage, Channel storage, Groundwater storage, Regional Groundwater storage",4.0,Peat,Groundwater Storage, drift,Groundwater Storage , bedrock,Regional Groundwater Storage, channel shown but not labelled,Channel storage,,,,,,,,,,,,
17,"Gutierrez-Jurado, Karina Y, Daniel Partington, and Margaret Shanafield. “Taking Theory to the Field: Streamflow Generation Mechanisms in an Intermittent Mediterranean Catchment.” Hydrology and Earth System Sciences 25, no. 8 (2021): 4299–4317.",https://doi.org/10.5194/hess-25-4299-2021,"Pedler Creek, Willunga Basin",3,"(a) Conceptual diagram showing the three major areas that are likely to develop distinct streamflow generation mechanisms during the intermittent flow season. (b–d) The 2D soil profiles for the three major areas detailing the processes developing from the initial conditions until the threshold of flow (modified from Gutierrez-Jurado et al., 2019). (e) Typical hydrograph during the intermittent season highlighting the hypothesised fast and slow flow components. For illustration purposes, the aquifers are presented as a single unit depicted in grey. Arrows represent the flow direction",https://hess.copernicus.org/articles/25/4299/2021/hess-25-4299-2021-f03-thumb.png,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,Topography,"Steep hills, undulating hills, flat valley/permeable soil, flat valley/impermeable soil",4,Event,"Initial conditions, intermediate, threshold of flow",3,Forest described,Tree icons shown  ,N,N,N,N,N,N,N,N,N,N,,6.0,"Infiltration, Lateral unsaturated flow, Infiltration excess flow, Saturation excess flow, Gaining stream, Subsurface stormflow",7.0,Infiltration,Infiltration, unsaturated interflow,Lateral unsaturated flow, saturated interflow,Subsurface stormflow, ponding,Depression storage, saturation excess overland flow,Saturation excess flow, infiltration excess overland flow,Infiltration excess flow, old groundwater discharge to stream,Gaining stream,,,,,,,,,,,,,,,9.0,"Channel storage, Water Table, Depression storage, Groundwater storage, Soil water storage, Soil water storage, Depression storage, Soil water storage, Perched water tables",8.0,Sand,Soil water storage, loam,Soil water storage , clay,Soil water storage , aquifer,Groundwater Storage , perched water table,Perched water tables, water table,Water Table, surface depression storage,Depression storage, channel,Channel storage,,,,
18,"Hangen E, Lindenlaub M, Leibundgut C, von Wilpert K. 2001. Investigating mechanisms of stormflow generation by natural tracers and hydrometric data: a small catchment study in the Black Forest, Germany. Hydrological processes 15 (2): 183–199 DOI: 10.1002/hyp.142",https://doi.org/10.1002/hyp.142,"Conventwald Basin, Black Forest Mountains",11,Not open-access,,Not open-access,,Hillslope position,Areas of fast/delayed stormflow generation,2,Event,Stages of runoff,3,N,N,N,N,N,N,Slopes described,Change in slope depicted,N,N,N,N,,4.0,"Groundwater flow, Saturation excess flow, Subsurface stormflow from riparian zone, Infiltration",4.0,Saturation overland flow,Saturation excess flow, soil water displacement/fast infiltration,Infiltration, fast depletion of near channel soil/groundwater,Subsurface stormflow from riparian zone, delayed flow from hillslope aquifer,Groundwater flow,,,,,,,,,,,,,,,,,,,,,3.0,"Dynamic groundwater storage, Total groundwater storage , Channel storage",3.0,Phreatic zone,Dynamic groundwater storage, permanently saturated,Total groundwater storage, channel,Channel storage,,,,,,,,,,,,,,
19,"Hartmann, A., Wagener, T., Rimmer, A., Lange, J., Brielmann, H., Weiler, M., 2013. Testing the realism of model structures to identify karst system processes using water quality and quantity signatures. Water Resour. Res. 49, 3345–3358.",https://doi.org/10.1002/wrcr.20229,Mt. Hermon Range,1,Not open-access,,Not open-access,,N,N,1,N,N,1,N,N,N,N,Geological types described,Only as far as marking aquiclude,Topography described,Shows 3D model of topography,3D graphics,Y (shows watershed in 3D include fault impact on geology),N,N,Focused on karst systems,5.0,"Springflow, Groundwater flow, Pistonflow, Springflow, Infiltration",5.0,Infiltration,Infiltration, preferential flow in conduits,Pistonflow, matrix flow,Groundwater flow, spring * 2,Springflow , spring * 2,Springflow ,,,,,,,,,,,,,,,,,,,3.0,"Bedrock fracture storage, Channel storage, Bedrock matrix storage",3.0,Water table in matrix,Bedrock matrix storage, water table in conduits,Bedrock fracture storage, river,Channel storage,,,,,,,,,,,,,,
20,"Heller K, Kleber A. 2016. Hillslope runoff generation influenced by layered subsurface in a headwater catchment in Ore Mountains, Germany. Environmental Earth Sciences 75 (11): 943 DOI: 10.1007/s12665-016-5750-y",https://doi.org/10.1007/s12665-016-5750-y,Freiberger Mulde,8,Not open-access,,Not open-access,,N,N,1,Wetness,Low/intermediate/high antecedent soil moisture,3,N,N,N,N,N,N,N,N,Plan view + cross section,Inset shows aerial view with flow directions to supplement profile,N,N,"Complex flow paths and changes in saturated zone shape/layers shown in diagrams, ",5.0,"Lateral unsaturated flow, Springflow, Subsurface stormflow, Return Flow, Vertical macropore flow",5.0,Spring,Springflow, multiple other non-labelled including infiltration in different layers,Vertical macropore flow, saturated lateral flow,Subsurface stormflow,unsaturated lateral flow,Lateral unsaturated flow, return flow,Return Flow,,,,,,,,,,,,,,,,,,,4.0,"Groundwater storage, Soil water storage, Soil water storage, Soil water storage",4.0,Soil layers: upper,Soil water storage, intermediate,Soil water storage , basal,Soil water storage , water saturated zone,Groundwater Storage ,,,,,,,,,,,,
