OBJECTID,Join_Count,TARGET_FID,id,Figure_Text,watershed_name,lat,lon,area_km2,OBJECTID_1,ECO_NAME,BIOME_NUM,BIOME_NAME,REALM,ECO_BIOME_,NNH,ECO_ID,SHAPE_LENG,NNH_NAME,COLOR,COLOR_BIO,COLOR_NNH,LICENSE
11,1,11,11,1,"HOAL Petzenkirchen, Vienna, Austria",48.150299,15.153005,0.66,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
12,1,12,12,1,"Yucca Mountain, Nevada, United States",36.8200469,-116.3997208,45,449,Mojave desert,13,Deserts & Xeric Shrublands,Nearctic,NE13,2,433,39.46646743,Nature Could Reach Half Protected,#FA5D4E,#CC6767,#7BC141,CC-BY 4.0
13,1,13,13,1,"Kerrien catchment, Brittany, France",47.945492,-4.119702,0.105,52,European Atlantic mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,664,134.9601634,Nature Could Recover,#67BA48,#00734C,#F9A91B,CC-BY 4.0
14,1,14,14,1,"Maimai M8 experimental catchment, New Zealand",-42.0834508,171.7976594,0.038,470,Nelson Coast temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,AU04,1,170,9.351536037,Half Protected,#5AA62A,#00734C,#257339,CC-BY 4.0
15,1,15,15,1,"WS10, H.J. Andrews, Oregon, United States",44.2171532,-122.2608844,0.102,125,Central-Southern Cascades Forests,5,Temperate Conifer Forests,Nearctic,NE05,2,352,38.85825639,Nature Could Reach Half Protected,#439952,#458970,#7BC141,CC-BY 4.0
16,1,16,16,1,"Athabasca Oil Sands region, Alberta, Canada",57.136749,-111.610485,132000,438,Mid-Canada Boreal Plains forests,6,Boreal Forests/Taiga,Nearctic,NE06,2,376,109.724632,Nature Could Reach Half Protected,#DCB1F9,#7AB6F5,#7BC141,CC-BY 4.0
17,1,17,17,1,"Pedler Creek, Willunga Basin, Australia",-35.21434682,138.5393283,1.36,270,Flinders-Lofty montane woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,AU12,2,200,37.00035357,Nature Could Reach Half Protected,#A80000,#FE0000,#7BC141,CC-BY 4.0
18,1,18,18,1,"Conventwald Basin, Black Forest Mountains, Germany",48.019727,7.964992,0.093,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
19,1,19,19,1,"Mt. Hermon Range, Israel, Syria, and Lebanon",33.181875,35.616014,783,242,Eastern Mediterranean conifer-broadleaf forests,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,4,791,107.3550318,Nature Imperiled,#F5A27A,#FE0000,#EE1E23,CC-BY 4.0
20,1,20,20,1,"Freiberger Mulde, Germany",50.796944,13.442222,0.06,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
21,1,21,21,1,"Kostroma Catchment, Russia",57.79868,40.908041,16000,615,Scandinavian and Russian taiga,6,Boreal Forests/Taiga,Palearctic,PA06,3,717,526.3746985,Nature Could Recover,#9F56E3,#7AB6F5,#F9A91B,CC-BY 4.0
22,1,22,22,1,"Point Peter Brook watershed, New York, United States",42.43992,-78.92289,6.96,17,Allegheny Highlands forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,328,24.03858664,Nature Could Reach Half Protected,#C8EBB1,#00734C,#7BC141,CC-BY 4.0
23,1,23,23,1,"3 watersheds (R, C, B) in Upper Fourmile Branch, South Carolina, United States",33.270199,-81.634021,0.45,666,Southeast US conifer savannas,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,4,399,184.9701408,Nature Imperiled,#FFAA01,#FEFF73,#EE1E23,CC-BY 4.0
24,1,24,24,1,"Brugga experimental basin, Black Forest Mountains, Germany",47.936414,7.95185,40,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
25,1,25,25,1,"Susquehanna Shale Hills CZO - Garner Run, United States",40.692454,-77.927731,1.34,33,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,331,66.56053763,Nature Could Reach Half Protected,#00734C,#00734C,#7BC141,CC-BY 4.0
26,1,26,26,1,"Susquehanna Shale Hills CZO - Cole Farm, United States",40.62994005,-77.94546604,0.65,33,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,331,66.56053763,Nature Could Reach Half Protected,#00734C,#00734C,#7BC141,CC-BY 4.0
27,1,27,27,1,"Colpach, Luxembourg",49.768451,5.819306,19.4,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
28,1,28,28,1,"Wollefsbach, Luxembourg",49.764224,5.974399,4.5,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
29,1,29,29,1,"Noordplas Polder, Netherlands",52.08853797,4.51423715,37,52,European Atlantic mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,664,134.9601634,Nature Could Recover,#67BA48,#00734C,#F9A91B,CC-BY 4.0
30,1,30,30,1,"Eel River CZO - Angelo, United States",39.7295997,-123.6439073,19.72,509,Northern California coastal forests,5,Temperate Conifer Forests,Nearctic,NE05,4,359,19.75209063,Nature Imperiled,#00734C,#458970,#EE1E23,CC-BY 4.0
31,1,31,31,1,"Eel River CZO - Sagehorn, United States",39.5754,-123.4642,21.1,377,Klamath-Siskiyou forests,5,Temperate Conifer Forests,Nearctic,NE05,2,357,22.29816685,Nature Could Reach Half Protected,#7FBF4F,#458970,#7BC141,CC-BY 4.0
32,1,32,32,1,"Maimai M8 experimental catchment, New Zealand",-42.0834508,171.7976594,0.038,470,Nelson Coast temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,AU04,1,170,9.351536037,Half Protected,#5AA62A,#00734C,#257339,CC-BY 4.0
33,1,33,33,1,"Maimai catchments, New Zealand",-42.08251362,171.7824286,0.0826,470,Nelson Coast temperate forests,4,Temperate Broadleaf & Mixed Forests,Australasia,AU04,1,170,9.351536037,Half Protected,#5AA62A,#00734C,#257339,CC-BY 4.0
34,1,34,34,1,"Mahurangi catchments, New Zealand",-36.405485,174.6529354,46.65,525,Northland temperate kauri forests,4,Temperate Broadleaf & Mixed Forests,Australasia,AU04,3,173,36.46631163,Nature Could Recover,#B3D49D,#00734C,#F9A91B,CC-BY 4.0
35,1,35,35,1,"Alptal watershed, Switzerland",47.046106,8.707209,5.2,18,Alps conifer and mixed forests,5,Temperate Conifer Forests,Palearctic,PA05,2,689,45.80077612,Nature Could Reach Half Protected,#007C33,#458970,#7BC141,CC-BY 4.0
36,1,36,36,1,"Triple G, Spyhill, and Stauffer Catchments, Northern Prairie Region, Canada",51.4225976,-112.6184955,-9999,518,Northern Shortgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,3,396,112.4800367,Nature Could Recover,#FCBA26,#FEFF73,#F9A91B,CC-BY 4.0
37,1,37,37,1,"Zhurucay River Ecohydrological Observatory, Andean cordillera, Ecuador",-3.091128,-79.234854,7.53,507,Northern Andean páramo,10,Montane Grasslands & Shrublands,Neotropic,NO10,1,593,125.9052442,Half Protected,#BF9B77,#D6C39D,#257339,CC-BY 4.0
38,1,38,38,1,"A catchment in Cofre de Perote volcano, Mexico",19.488651,-97.042749,0.264,537,Oaxacan montane forests,1,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,NO01,2,487,16.23632568,Nature Could Reach Half Protected,#98E500,#38A700,#7BC141,CC-BY 4.0
39,1,39,39,1,"SB2 subcatchment, Susannah Brook, Western Australia, Australia",-31.82226158,116.1300175,24,694,Southwest Australia woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,AU12,3,206,29.66362346,Nature Could Recover,#A80000,#FE0000,#F9A91B,CC-BY 4.0
40,1,40,40,1,"Sumatra, Indonesia",-2.257333,102.172417,42690,709,Sumatran lowland rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,2,278,135.9304605,Nature Could Reach Half Protected,#5AA500,#38A700,#7BC141,CC-BY 4.0
41,1,41,41,1,"Hitachi Ohta Experimental Watershed, Japan",36.579335,140.576461,0.0248,719,Taiheiyo evergreen forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,2,682,114.323183,Nature Could Reach Half Protected,#267300,#00734C,#7BC141,CC-BY 4.0
42,1,42,42,1,"Baker Creek watershed, Yellowknife Northwest Territories, Canada",62.513333,-114.409722,165,510,Northern Canadian Shield taiga,6,Boreal Forests/Taiga,Nearctic,NE06,2,379,79.24761141,Nature Could Reach Half Protected,#A587E9,#7AB6F5,#7BC141,CC-BY 4.0
43,1,43,43,1,"Tatsunokuchi-yama Experimental Forest, Japan",34.7091457,133.9642885,0.399,719,Taiheiyo evergreen forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,2,682,114.323183,Nature Could Reach Half Protected,#267300,#00734C,#7BC141,CC-BY 4.0
44,1,44,44,1,"Wolf Creek, Canada",60.6165578,-134.9236394,-9999,778,Watson Highlands taiga,6,Boreal Forests/Taiga,Nearctic,NE06,2,383,62.7733386,Nature Could Reach Half Protected,#CDB0E0,#7AB6F5,#7BC141,CC-BY 4.0
45,1,45,45,1,"Krycklan, Sweden",64.2513012,19.77790006,-9999,615,Scandinavian and Russian taiga,6,Boreal Forests/Taiga,Palearctic,PA06,3,717,526.3746985,Nature Could Recover,#9F56E3,#7AB6F5,#F9A91B,CC-BY 4.0
46,1,46,46,1,"Girnock, Scotland, United Kingdom",57.046496,-3.115812,31,88,Caledon conifer forests,5,Temperate Conifer Forests,Palearctic,PA05,4,691,14.13071236,Nature Imperiled,#76D145,#458970,#EE1E23,CC-BY 4.0
47,1,47,47,1,"Fudoji Experimental Watershed, Tanakami Mountain, Japan",34.919493,135.982348,0.001,719,Taiheiyo evergreen forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,2,682,114.323183,Nature Could Reach Half Protected,#267300,#00734C,#7BC141,CC-BY 4.0
48,1,48,48,1,"Toinotani watershed, Kyoto University Forest, Ashiu, Japan",35.32709,135.73981,0.0064,482,Nihonkai montane deciduous forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,2,671,66.62609119,Nature Could Reach Half Protected,#00B51B,#00734C,#7BC141,CC-BY 4.0
49,1,49,49,1,"Brugga experimental basin, Black Forest Mountains, Germany",47.936414,7.95185,40,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
50,1,50,50,1,"Dornbirnerach, Austria",47.400463,9.752799,51.1,18,Alps conifer and mixed forests,5,Temperate Conifer Forests,Palearctic,PA05,2,689,45.80077612,Nature Could Reach Half Protected,#007C33,#458970,#7BC141,CC-BY 4.0
51,1,51,51,1,"Gail, Austria",46.696818,12.783634,146.1,18,Alps conifer and mixed forests,5,Temperate Conifer Forests,Palearctic,PA05,2,689,45.80077612,Nature Could Reach Half Protected,#007C33,#458970,#7BC141,CC-BY 4.0
52,1,52,52,1,"Wimitzbach, Austria",46.7668981,14.3763791,106.5,18,Alps conifer and mixed forests,5,Temperate Conifer Forests,Palearctic,PA05,2,689,45.80077612,Nature Could Reach Half Protected,#007C33,#458970,#7BC141,CC-BY 4.0
53,1,53,53,1,"Perschling, Austria",48.19903,15.7591,55.3,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
54,1,54,54,1,"Uhlí?ská, Czech Republic",50.824889,15.148526,1.78,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
55,1,55,55,1,"Mulian watershed, Huanjiang county, Guangxi, China",24.73995833,108.3243472,1.46,354,Jian Nan subtropical evergreen forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,3,236,104.0907024,Nature Could Recover,#23DB01,#38A700,#F9A91B,CC-BY 4.0
56,1,56,56,1,"Weatherley catchment, South Africa",-31.092361,28.334145,1.5,206,Drakensberg grasslands,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,41,168.5040737,Nature Imperiled,#FDBD7F,#FEAA01,#EE1E23,CC-BY 4.0
57,1,57,57,1,"Brugga experimental basin, Black Forest Mountains, Germany",47.936414,7.95185,40,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
58,1,58,58,1,"Huewelerbach catchments, Luxembourg",49.71836111,5.905694444,2.7,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
59,1,59,59,1,"Weierbach catchment, Luxembourg",49.827738,5.797505,384,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
60,1,60,60,1,"Wollefsbach, Luxembourg",49.764224,5.974399,4.5,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
61,1,61,61,1,"Yakou catchment, Qinghai, China",38.002778,100.258333,1.4,584,Qilian Mountains subalpine meadows,10,Montane Grasslands & Shrublands,Palearctic,PA10,2,763,21.9362819,Nature Could Reach Half Protected,#A93800,#D6C39D,#7BC141,CC-BY 4.0
62,1,62,62,1,"Longxi River Experimental Watershed, northwest of Chengdu city, Sichuan, China",31.0622043,103.5561277,78.3,586,Qionglai-Minshan conifer forests,5,Temperate Conifer Forests,Palearctic,PA05,3,706,30.78571314,Nature Could Recover,#29A26C,#458970,#F9A91B,CC-BY 4.0
63,1,63,63,1,"Duke Forest Research Watershed, North Carolina, United States",36.04875696,-79.01276152,0.484,35,Appalachian Piedmont forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,3,330,45.7918207,Nature Could Recover,#4EAD37,#00734C,#F9A91B,CC-BY 4.0
64,1,64,64,1,"Rio Vauz Basin, Italy",46.4897806,11.8443499,1.9,18,Alps conifer and mixed forests,5,Temperate Conifer Forests,Palearctic,PA05,2,689,45.80077612,Nature Could Reach Half Protected,#007C33,#458970,#7BC141,CC-BY 4.0
65,1,65,65,1,"Neversink River watershed, Catskills, New York, United States",41.824031,-74.639741,166,17,Allegheny Highlands forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,328,24.03858664,Nature Could Reach Half Protected,#C8EBB1,#00734C,#7BC141,CC-BY 4.0
66,1,66,66,1,"Neversink River watershed, Catskills, New York, United States",41.824031,-74.639741,166,17,Allegheny Highlands forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,328,24.03858664,Nature Could Reach Half Protected,#C8EBB1,#00734C,#7BC141,CC-BY 4.0
67,1,67,67,1,"Moss subwatershed, Baker Creek watershed, Yellowknife Northwest Territories, Canada",62.6,-114.43,9.3,510,Northern Canadian Shield taiga,6,Boreal Forests/Taiga,Nearctic,NE06,2,379,79.24761141,Nature Could Reach Half Protected,#A587E9,#7AB6F5,#7BC141,CC-BY 4.0
68,1,68,68,1,"Walker branch watershed, Tennessee, United States",35.954272,-84.277347,0.384,33,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,331,66.56053763,Nature Could Reach Half Protected,#00734C,#00734C,#7BC141,CC-BY 4.0
69,1,69,69,1,"Scott Creek Catchment, Australia",-35.100723,138.6720257,27,270,Flinders-Lofty montane woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,AU12,2,200,37.00035357,Nature Could Reach Half Protected,#A80000,#FE0000,#7BC141,CC-BY 4.0
70,1,70,70,1,"Scott Creek Catchment, Australia",-35.100723,138.6720257,27,270,Flinders-Lofty montane woodlands,12,"Mediterranean Forests, Woodlands & Scrub",Australasia,AU12,2,200,37.00035357,Nature Could Reach Half Protected,#A80000,#FE0000,#7BC141,CC-BY 4.0
71,1,71,71,1,"Aguima catchment, Upper Oueme, Benin",9.13603,1.983488,30,782,West Sudanian savanna,7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Afrotropic,AF07,4,62,84.5066996,Nature Imperiled,#E69800,#FEAA01,#EE1E23,CC-BY 4.0
72,1,72,72,1,"Krycklan, Sweden",64.2513012,19.77790006,-9999,615,Scandinavian and Russian taiga,6,Boreal Forests/Taiga,Palearctic,PA06,3,717,526.3746985,Nature Could Recover,#9F56E3,#7AB6F5,#F9A91B,CC-BY 4.0
73,1,73,73,1,"WS10, H.J. Andrews, Oregon, United States",44.2171532,-122.2608844,0.102,125,Central-Southern Cascades Forests,5,Temperate Conifer Forests,Nearctic,NE05,2,352,38.85825639,Nature Could Reach Half Protected,#439952,#458970,#7BC141,CC-BY 4.0
74,1,74,74,1,"Bukit Tarek, Malaysia",3.534456,101.585777,0.328,565,Peninsular Malaysian rain forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,2,265,74.58387303,Nature Could Reach Half Protected,#70A800,#38A700,#7BC141,CC-BY 4.0
75,1,75,75,1,"Uhlí?ská, Czech Republic",50.824889,15.148526,1.78,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
76,1,76,76,1,"Kiryu Experimental Watershed, Japan",34.96734839,135.9938693,0.0599,719,Taiheiyo evergreen forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,2,682,114.323183,Nature Could Reach Half Protected,#267300,#00734C,#7BC141,CC-BY 4.0
77,1,77,77,1,"Los Alamos National Laboratory's Environmental Research Park, United States",35.864355,-106.340552,0.00087,175,Colorado Rockies forests,5,Temperate Conifer Forests,Nearctic,NE05,3,353,58.14620954,Nature Could Recover,#6C9B53,#458970,#F9A91B,CC-BY 4.0
78,1,78,78,1,"Feshie, Scotland, United Kingdom",57.114327,-3.897661,231,88,Caledon conifer forests,5,Temperate Conifer Forests,Palearctic,PA05,4,691,14.13071236,Nature Imperiled,#76D145,#458970,#EE1E23,CC-BY 4.0
79,1,79,79,1,"Sleepers River, Vermont, United States",44.435335,-72.038429,111,476,New England-Acadian forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,4,338,146.8583702,Nature Imperiled,#5DA655,#00734C,#EE1E23,CC-BY 4.0
80,1,80,80,1,"Martinelli catchment, Green Lakes Valley, Colorado, United States",40.05122696,-105.5953856,0.08,175,Colorado Rockies forests,5,Temperate Conifer Forests,Nearctic,NE05,3,353,58.14620954,Nature Could Recover,#6C9B53,#458970,#F9A91B,CC-BY 4.0
81,1,81,81,1,"GL4 catchment, Green Lakes Valley, Colorado, United States",40.05,-105.5833333,2.25,175,Colorado Rockies forests,5,Temperate Conifer Forests,Nearctic,NE05,3,353,58.14620954,Nature Could Recover,#6C9B53,#458970,#F9A91B,CC-BY 4.0
82,1,82,82,1,"Saddle Catchment, Niwot Ridge LTER, Boulder, Colorado, United States",40.04903177,-105.5923174,0.3,175,Colorado Rockies forests,5,Temperate Conifer Forests,Nearctic,NE05,3,353,58.14620954,Nature Could Recover,#6C9B53,#458970,#F9A91B,CC-BY 4.0
83,1,83,83,1,"West Twin Creek, Nome Creek Watershed, Alaska, United States",65.34017,-146.915463,4.1,339,Interior Yukon-Alaska alpine tundra,11,Tundra,Nearctic,NE11,2,416,121.0068719,Nature Could Reach Half Protected,#6EE3C6,#9ED7C2,#7BC141,CC-BY 4.0
84,1,84,84,1,"Marcell, Minesota, United States",47.51540541,-93.47181798,0.097,787,Western Great Lakes forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,344,81.89239319,Nature Could Reach Half Protected,#73DA64,#00734C,#7BC141,CC-BY 4.0
85,1,85,85,1,"Zoebelbodem, Austria",47.864984,14.456005,7.54,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
86,1,86,86,1,"Hulu catchment, Tibet, China",38.267868,99.879794,23.1,584,Qilian Mountains subalpine meadows,10,Montane Grasslands & Shrublands,Palearctic,PA10,2,763,21.9362819,Nature Could Reach Half Protected,#A93800,#D6C39D,#7BC141,CC-BY 4.0
87,1,87,87,1,"Ciciriello, Italy",40.197935,15.538867,3,760,Tyrrhenian-Adriatic sclerophyllous and mixed forests,12,"Mediterranean Forests, Woodlands & Scrub",Palearctic,PA12,3,806,91.85707074,Nature Could Recover,#B02745,#FE0000,#F9A91B,CC-BY 4.0
88,1,88,88,1,"Havikpak Creek, Northwest Territories, Canada",68.313157,-133.518472,16.4,96,Canadian Low Arctic tundra,11,Tundra,Nearctic,NE11,2,413,315.1334588,Nature Could Reach Half Protected,#4DB18F,#9ED7C2,#7BC141,CC-BY 4.0
89,1,89,89,1,"Two Boat Lake, Kangerlussuaq, Greenland",67.129512,-50.172328,1.18,837,Kalaallit Nunaat Arctic steppe,11,Tundra,Nearctic,NE11,2,417,902.2667341,Nature Could Reach Half Protected,#64DEE3,#9ED7C2,#7BC141,CC-BY 4.0
90,1,90,90,1,"Upper Jhelum watershed, Western Himalayas",50.727826,13.701324,15.4,786,Western European broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,686,116.4617981,Nature Could Recover,#89F261,#00734C,#F9A91B,CC-BY 4.0
91,1,91,91,1,"Goodwater Creek, Missouri, United States",39.30443,-92.052369,73,151,Central Tallgrass prairie,8,"Temperate Grasslands, Savannas & Shrublands",Nearctic,NE08,4,388,62.81190687,Nature Imperiled,#DEFC4E,#FEFF73,#EE1E23,CC-BY 4.0
92,1,92,92,1,"Mae Sa Noi watershed, Thailand",18.8782328,98.9005881,7,141,Central Indochina dry forests,2,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,IN02,4,291,128.771591,Nature Imperiled,#73BD1E,#CCCD65,#EE1E23,CC-BY 4.0
93,1,93,93,1,"Yakou catchment, Qinghai, China",38.002778,100.258333,1.4,584,Qilian Mountains subalpine meadows,10,Montane Grasslands & Shrublands,Palearctic,PA10,2,763,21.9362819,Nature Could Reach Half Protected,#A93800,#D6C39D,#7BC141,CC-BY 4.0
94,1,94,94,1,"Quillow catchment, Germany",53.30624959,13.81285455,138,64,Baltic mixed forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,3,647,111.7445208,Nature Could Recover,#95D48D,#00734C,#F9A91B,CC-BY 4.0
95,1,95,95,1,"Purple soil watershed, China",31.2691626,105.4734375,0.1,624,Sichuan Basin evergreen broadleaf forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,4,680,15.92020366,Nature Imperiled,#70A800,#00734C,#EE1E23,CC-BY 4.0
96,1,96,96,1,"Heart CZO, Ganga Basin, India",26.532936,80.16921,22,763,Upper Gangetic Plains moist deciduous forests,1,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,IN01,4,287,24.67781771,Nature Imperiled,#70A800,#38A700,#EE1E23,CC-BY 4.0
97,1,97,97,1,"Mukeng catchment, Anhui, China",29.6673,117.9868,0.21,156,Changjiang Plain evergreen forests,4,Temperate Broadleaf & Mixed Forests,Palearctic,PA04,4,657,64.34277882,Nature Imperiled,#55A649,#00734C,#EE1E23,CC-BY 4.0
98,1,98,98,1,"Susquehanna Shale Hills CZO - Shale Hills, United States",40.664849,-77.907246,0.08,33,Appalachian-Blue Ridge forests,4,Temperate Broadleaf & Mixed Forests,Nearctic,NE04,2,331,66.56053763,Nature Could Reach Half Protected,#00734C,#00734C,#7BC141,CC-BY 4.0
