id,model_type,citation,url,attribution,attribution_url,figure_num,figure_caption,figure_url,textmodel_snipped,textmodel_section_number,textmodel_section_name,textmodel_page_number,watershed_name,lat,lon,area_km2,num_spatial_zones,spatial_property,num_temporal_zones,temporal_property,vegetation_info,soil_info,geol_info,topo_info,three_d_info,uncertainty_info,other_info,num_store,store_list,store_id_list,num_flux,flux_list,flux_id_list,dummy_column,huc_watershed_id
11,Figure model,"Exner-Kittridge M, Strauss P, BlÃ¶schl G, Eder A, Saracevic E, Zessner M. 2016. The seasonal dynamics of the stream sources and input flow paths of water and nitrogen of an Austrian headwater agricultural catchment. The Science of the total environment 542 (Pt A): 935â€“945 DOI: 10.1016/j.scitotenv.2015.10.151",https://doi.org/10.1016/j.scitotenv.2015.10.151,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,3,"A schematic diagram of the sources and pathways of water and nitrogen during baseflow and rainfall conditions in the HOAL catchment. Diagrams (a) and (b) illustrate the source reservoirs during baseflow and rainfall event conditions, and diagrams (c) and (d) illustrate the flowpaths of the water and nitrogen from the reservoirs to the stream during baseflow and rainfall event conditions. The main reservoirs for stream baseflow are the shallow aquifer and the deep aquifer, and in addition to the previously mentioned aquifers the unsaturated soil and the rainfall are the source reservoirs during rainfall events. Diagram (c) illustrates a slightly different cross-section where the deep aquifer outcrops into the riparian zone and manifests as a spring. This cross-section is representative of the location of the Q1 spring found in Fig. 2. In both (c) and (d), diffuse groundwater (GW) flows through the soil matrix and macropores are important flowpaths in addition to tile drainage discharge",https://ars.els-cdn.com/content/image/1-s2.0-S0048969715309670-gr3.jpg,N/A,N/A,N/A,N/A,"HOAL Petzenkirchen, Vienna, Austria",48.150299,15.153005,0.66,1,N,2,Event,N,N,N,N,N,N,"The sources (=stores) and flow paths are shown as separate pictures. The diffuse groundwater flows are shown as being from shallow and deep aquifers, but are described as being ""flows through the soil matrix and macropores""",4,"Channel storage, Groundwater storage, Soil water storage, Groundwater storage","Chan.Store, Sub.GW.Store, Sub.Soil.Store, Sub.GW.Store",6,"Vertical drainage to groundwater, Groundwater flow, Groundwater flow, Springflow, Tile drain flow, Overland Flow","Sub.Soil.Drain, Sub.GW.Flow, Sub.GW.Flow, Sub.GW.Ret.Spr, Human.Sub.SSFlow.Tile, Surf.Over",1,N/A
12,Figure model,"Flint AL, Flint LE, Bodvarsson GS, Kwicklis EM, Fabryka-Martin J. 2001. Evolution of the conceptual model of unsaturated zone hydrology at Yucca Mountain, Nevada. Journal of Hydrology 247 (1)",https://doi.org/10.1016/S0022-1694(01)00358-4,Not open-access,https://doi.org/10.1016/S0022-1694(01)00358-4,3,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Yucca Mountain, Nevada, United States",36.8200469,-116.3997208,45,1,N,1,N,N,N,Geology described,N,N,Uncertainty described,"Inconsistencies betweeen picture and legend, wiggly arrows meaning unknown, many unlabelled arrows",7,"Unsaturated bedrock storage, Unsaturated bedrock storage, Unsaturated bedrock storage, Unsaturated bedrock storage, Water Table, Perched water tables, Unsaturated bedrock storage","Sub.GW.Store.Unsat, Sub.GW.Store.Unsat, Sub.GW.Store.Unsat, Sub.GW.Store.Unsat, Sub.GW.Store.Wtable, Sub.GW.Store.Perch, Sub.GW.Store.Unsat",7,"Infiltration into bedrock via preferential flow paths, Pistonflow, Pistonflow, Lateral unsaturated bedrock flow, Infiltration, Lateral unsaturated bedrock flow, Lateral unsaturated bedrock flow","Sub.GW.BedInf.Macro, Sub.GW.Disp.Piston, Sub.GW.Disp.Piston, Sub.GW.Flow.Unsat, Surf.Inf.Inf, Sub.GW.Flow.Unsat, Sub.GW.Flow.Unsat",1,N/A
13,Figure model,"Fovet O, Ruiz L, Hrachowitz M, Faucheux M, Gascuel-Odoux C. 2015. Hydrological hysteresis and its value for assessing process consistency in catchment conceptual models. Hydrology and Earth System Sciences 19 (1): 105â€“123",https://doi.org/10.5194/hess-19-105-2015,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,7,Conceptual scheme of successive mechanisms explaining the annual hysteresis between storages and stream ï¬‚ows. HUS: hillslope unsaturated storage; HSS: hillslope saturated storage; RUS: riparian unsaturated storage; RSS: riparian saturated storage; Q: stream ï¬‚ow. Bold characters indicate compartments with varying storage; grey arrows indicate whether the compartment is ï¬lling or emptying; black arrows indicate the water ï¬‚ow paths,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/1b22eacf13e446e1aa3ab59d39fbee9b/data,N/A,N/A,N/A,N/A,"Kerrien catchment, Brittany, France",47.945492,-4.119702,0.105,1,N,4,Wetness,N,N,N,Slopes described,N,N,Arrows show water table rise/fall; indicates which storages have variable storage,4,"Soil water storage, Riparian unsaturated storage, Riparian aquifer storage, Groundwater storage","Sub.Soil.Store, Chan.Store.Rip.Unsat, Chan.Store.Rip, Sub.GW.Store",5,"Groundwater flow, Regional groundwater flow, Gaining stream, Channel flow, Lateral macropore flow","Sub.GW.Flow, Sub.GW.Flow.Region, Sub.GWSW.Gain, Chan.Flow, Sub.SSFlow.Macro",1,N/A
14,Figure model,"Gabrielli CP, McDonnell JJ, Jarvis WT. 2012. The role of bedrock groundwater in rainfallâ€“runoff response at hillslope and catchment scales. Journal of Hydrology 450-451: 117â€“133 DOI: 10.1016/j.jhydrol.2012.05.023",https://doi.org/10.1016/j.jhydrol.2012.05.023,Not open-access,https://doi.org/10.1016/j.jhydrol.2012.05.023,7a,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Maimai M8 experimental catchment, New Zealand",-42.0834508,171.7976594,0.038,1,N,1,N,Forest described,N,N,N,N,N,N,4,"Channel storage, Groundwater storage, Unsaturated bedrock storage, Soil water storage","Chan.Store, Sub.GW.Store, Sub.GW.Store.Unsat, Sub.Soil.Store",3,"Subsurface stormflow, Groundwater flow, Infiltration into bedrock","Sub.SSFlow, Sub.GW.Flow, Sub.GW.BedInf",1,N/A
15,Figure model,"Gabrielli CP, McDonnell JJ, Jarvis WT. 2012. The role of bedrock groundwater in rainfallâ€“runoff response at hillslope and catchment scales. Journal of Hydrology 450-451: 117â€“133 DOI: 10.1016/j.jhydrol.2012.05.024",https://doi.org/10.1016/j.jhydrol.2012.05.023,Not open-access,https://doi.org/10.1016/j.jhydrol.2012.05.023,7b,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"WS10, H.J. Andrews, Oregon, United States",44.2171532,-122.2608844,0.102,1,N,1,N,Forest described,N,N,N,N,N,N,4,"Soil water storage, Groundwater storage, Soil water storage, Channel storage","Sub.Soil.Store, Sub.GW.Store, Sub.Soil.Store, Chan.Store",4,"Groundwater flow, Pistonflow, Infiltration into bedrock, Gaining stream","Sub.GW.Flow, Sub.GW.Disp.Piston, Sub.GW.BedInf, Sub.GWSW.Gain",1,N/A
16,Figure model,"Gibson JJ, Yi Y, Birks SJ. 2016. Isotope-based partitioning of streamflow in the oil sands region, northern Alberta: Towards a monitoring strategy for assessing flow sources and water quality controls. Journal of Hydrology: Regional Studies 5: 131â€“148 DOI: 10.1016/j.ejrh.2015.12.062",https://doi.org/10.1016/j.ejrh.2015.12.062,CC BY-NC-ND 4.0,https://creativecommons.org/licenses/by-nc-nd/4.0/,12,"Conceptual model of runoff generation in wetland-dominated tributaries in the oil sands region. Important flow mechanisms are identified. Note that on-channel precipitation and near-channel overland flow produce event-dominated runoff, shallow runoff components (2â€“5) typically produce mixtures of surface water and groundwater whereas deep runoff components (6â€“8) are exclusively groundwater-fed",https://ars.els-cdn.com/content/image/1-s2.0-S2214581815002141-gr12.jpg,N/A,N/A,N/A,N/A,"Athabasca Oil Sands region, Alberta, Canada",57.136749,-111.610485,132000,1,N,1,N,N,N,Glacier described,N,N,N,"Describes water sources as event water, shallow gw, deep gw",4,"Regional Groundwater storage, Channel storage, Groundwater storage, Groundwater storage","Sub.GW.Store.Region, Chan.Store, Sub.GW.Store, Sub.GW.Store",9,"Return Flow, Lateral macropore flow, Groundwater flooding, Groundwater flow, Regional groundwater flow, Subsurface stormflow, Groundwater flow, SE flow from riparian zone, Channel interception","Sub.GW.Ret, Sub.SSFlow.Macro, Sub.GW.Ret.Flood, Sub.GW.Flow, Sub.GW.Flow.Region, Sub.SSFlow, Sub.GW.Flow, Surf.Over.SE.Rip, Chan.Int",1,N/A
17,Figure model,"Gutierrez-Jurado, Karina Y, Daniel Partington, and Margaret Shanafield, 2021. â€œTaking Theory to the Field: Streamflow Generation Mechanisms in an Intermittent Mediterranean Catchment.â€ Hydrology and Earth System Sciences 25, no. 8 (2021): 4299â€“4317.",https://doi.org/10.5194/hess-25-4299-2021,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,3,"(a) Conceptual diagram showing the three major areas that are likely to develop distinct streamflow generation mechanisms during the intermittent flow season. (bâ€“d) The 2D soil profiles for the three major areas detailing the processes developing from the initial conditions until the threshold of flow (modified from Gutierrez-Jurado et al., 2019). (e) Typical hydrograph during the intermittent season highlighting the hypothesised fast and slow flow components. For illustration purposes, the aquifers are presented as a single unit depicted in grey. Arrows represent the flow direction",https://hess.copernicus.org/articles/25/4299/2021/hess-25-4299-2021-f03-thumb.png,N/A,N/A,N/A,N/A,"Pedler Creek, Willunga Basin, Australia",-35.21434682,138.5393283,1.36,4,Topography,3,Event,Forest described,N,N,N,N,N,N,9,"Soil water storage, Depression storage, Soil water storage, Channel storage, Perched water tables, Depression storage, Water Table, Soil water storage, Groundwater storage","Sub.Soil.Store, Surf.Water.Depr, Sub.Soil.Store, Chan.Store, Sub.GW.Store.Perch, Surf.Water.Depr, Sub.GW.Store.Wtable, Sub.Soil.Store, Sub.GW.Store",6,"Subsurface stormflow, Infiltration, Gaining stream, Infiltration excess flow, Saturation excess flow, Lateral unsaturated flow","Sub.SSFlow, Surf.Inf.Inf, Sub.GWSW.Gain, Surf.Over.IE, Surf.Over.SE, Sub.Soil.Lat",1,N/A
18,Figure model,"Hangen E, Lindenlaub M, Leibundgut C, von Wilpert K. 2001. Investigating mechanisms of stormflow generation by natural tracers and hydrometric data: a small catchment study in the Black Forest, Germany. Hydrological processes 15 (2): 183â€“199 DOI: 10.1002/hyp.142",https://doi.org/10.1002/hyp.142,Not open-access,https://doi.org/10.1002/hyp.142,11,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Conventwald Basin, Black Forest Mountains, Germany",48.019727,7.964992,0.093,2,Hillslope position,3,Event,N,N,N,Slopes described,N,N,N,3,"Total groundwater storage , Channel storage, Dynamic groundwater storage","Sub.GW.Store.Total, Chan.Store, Sub.GW.Store.Dynam",4,"Subsurface stormflow from riparian zone, Saturation excess flow, Infiltration, Groundwater flow","Sub.SSFlow.Rip, Surf.Over.SE, Surf.Inf.Inf, Sub.GW.Flow",1,N/A
19,Figure model,"Hartmann, A., Wagener, T., Rimmer, A., Lange, J., Brielmann, H., Weiler, M., 2013. Testing the realism of model structures to identify karst system processes using water quality and quantity signatures. Water Resour. Res. 49, 3345â€“3358.",https://doi.org/10.1002/wrcr.20229,Not open-access,https://doi.org/10.1002/wrcr.20229,1,(a) Study site and its location in the Middle East and (b) perceptual model of the hydrological system of the two springs (cross section A-B-C indicated in Figure 1a and derived from Gilad and Schwartz (1978)),https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Mt. Hermon Range, Israel, Syria, and Lebanon",33.181875,35.616014,783,1,N,1,N,N,N,Geology described,Topography described,3D graphics,N,Focused on karst systems,3,"Bedrock matrix storage, Bedrock fracture storage, Channel storage","Sub.GW.Store.Frac, Sub.GW.Store.Matrix, Chan.Store",5,"Groundwater flow, Pistonflow, Springflow, Springflow, Infiltration","Sub.GW.Flow, Sub.GW.Disp.Piston, Sub.GW.Ret.Spr, Sub.GW.Ret.Spr, Surf.Inf.Inf",1,N/A
20,Figure model,"Heller K, Kleber A. 2016. Hillslope runoff generation influenced by layered subsurface in a headwater catchment in Ore Mountains, Germany. Environmental Earth Sciences 75 (11): 943 DOI: 10.1007/s12665-016-5750-y",https://doi.org/10.1007/s12665-016-5750-y,Not open-access,https://doi.org/10.1007/s12665-016-5750-y,8,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Freiberger Mulde, Germany",50.796944,13.442222,0.06,1,N,3,Wetness,N,N,N,N,Plan view + cross section,N,"Complex flow paths and changes in saturated zone shape/layers shown in diagrams, ",4,"Groundwater storage, Soil water storage, Soil water storage, Soil water storage","Sub.GW.Store, Sub.Soil.Store, Sub.Soil.Store, Sub.Soil.Store",5,"Return Flow, Subsurface stormflow, Springflow, Lateral unsaturated flow, Vertical macropore flow","Sub.GW.Ret, Sub.SSFlow, Sub.GW.Ret.Spr, Sub.Soil.Lat, Sub.Soil.Macro",1,N/A
21,Figure model,"Helms, M, O Evdakov, J Ihringer, and F Nestmann, 2006. â€œModelling Spring Flood in the Area of the Upper Volga Basin.â€ Advances in Geosciences 9 (2006): 115â€“22.",https://doi.org/10.5194/adgeo-9-115-2006,CC BY-NC-SA 2.5,https://creativecommons.org/licenses/by-nc-sa/2.5/,7,"Scheme of the discussed runoff-generation mechanism of spring ï¬‚ood events in catchments with predominating podzoluvisols. Blue arrows indicate dynamics of soil water, brown block arrows those of the soil matrix due to shrinkage or swelling of clay",https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/a69a45f9dc8f48ecbe7cf241f38a9221/data,N/A,N/A,N/A,N/A,"Kostroma Catchment, Russia",57.79868,40.908041,16000,1,N,4,Season,N,Horizons described,N,N,N,N,Just shown as soil sections,5,"Soil water storage, Water table rise, Soil swelling/cracking, Groundwater storage, Soil water storage","Sub.Soil.Store, Sub.GW.Store.Rise, Surf.Inf.Soil.Swell, Sub.GW.Store, Sub.Soil.Store",5,"Lateral matrix flow at soil horizons, Displacement of groundwater, Infiltration, Mixing, Vertical macropore flow","Sub.SSFlow.Matrix.Horiz, Sub.GW.Disp, Surf.Inf.Inf, Sub.Soil.Mix, Sub.Soil.Macro",1,N/A
22,Figure model,"Inamdar SP, Mitchell MJ. 2007. Contributions of riparian and hillslope waters to storm runoff across multiple catchments and storm events in a glaciated forested watershed. Journal of Hydrology 341 (1): 116â€“130 DOI: 10.1016/j.jhydrol.2007.05.007",https://doi.org/10.1016/j.jhydrol.2007.05.007,Not open-access,https://doi.org/10.1016/j.jhydrol.2007.05.007,6,N/A,https://sdsugeo.maps.arcgis.com/sharing/rest/content/items/df499e37a2ef40d7885966952c627e01/data,N/A,N/A,N/A,N/A,"Point Peter Brook watershed, New York, United States",42.43992,-78.92289,6.96,1,N,3,Event,N,N,N,N,N,N,N,0,N/A,N/A,3,"Riparian Groundwater Flow, Throughfall, Exfiltration","Sub.GW.Flow.Rip, Surf.Int.Thru, Sub.GW.Ret.Exf",1,N/A
